"","ASV","ID_bold","Search.DB","Top..","Low..","X","X.1"
"275","ASV_693","Dermaptera","COI FULL DATABASE (includes records without species designation)",NA,NA,97.89,85.76
"276","ASV_696","Dasyhelea ludingensis","COI FULL DATABASE (includes records without species designation)",NA,NA,100,100
"277","ASV_701","Ectopsocus fullawayi","COI FULL DATABASE (includes records without species designation)",NA,NA,99.03,84.27
"278","ASV_704","Dermaptera","COI FULL DATABASE (includes records without species designation)",NA,NA,97.19,87.06
"279","ASV_706","Neoscona theisi","COI FULL DATABASE (includes records without species designation)",NA,NA,98.39,95.16
"280","ASV_710","Neoscona theisi","COI FULL DATABASE (includes records without species designation)",NA,NA,99.63,96.76
"281","ASV_716","Neoscona theisi","COI FULL DATABASE (includes records without species designation)",NA,NA,99.6,94.5
"282","ASV_720","Basidiomycota Arachnida ","COI FULL DATABASE (includes records without species designation)",NA,NA,100,75.73
"283","ASV_724","Heteropoda venatoria","COI FULL DATABASE (includes records without species designation)",NA,NA,99.68,90.53
"284","ASV_725","Mus musculus","COI FULL DATABASE (includes records without species designation)",NA,NA,99.64,99.03
"285","ASV_726","Smeringopus pallidus","COI FULL DATABASE (includes records without species designation)",NA,NA,99.54,80.91
"286","ASV_730","Mus musculus","COI FULL DATABASE (includes records without species designation)",NA,NA,99.64,99.03
"287","ASV_733","Wolbachia sp. Tetraponera manangotra","COI FULL DATABASE (includes records without species designation)",NA,NA,99.03,97.99
"288","ASV_734","Proteobacteria Alphaproteobacteria ","COI FULL DATABASE (includes records without species designation)",NA,NA,100,98.78
"289","ASV_736","Heteropoda venatoria","COI FULL DATABASE (includes records without species designation)",NA,NA,99.67,90.48
"290","ASV_739","Diptera","COI FULL DATABASE (includes records without species designation)",NA,NA,99.67,99.67
"291","ASV_743","Araneae","COI FULL DATABASE (includes records without species designation)",NA,NA,99.31,85.33
"292","ASV_746","Pycnoscelus surinamensis","COI FULL DATABASE (includes records without species designation)",NA,NA,100,86.41
"293","ASV_748","Chrysotus cockerellae","COI FULL DATABASE (includes records without species designation)",NA,NA,100,91.36
"294","ASV_753","Diptera","COI FULL DATABASE (includes records without species designation)",NA,NA,100,97.76
"295","ASV_767","Heteropoda venatoria","COI FULL DATABASE (includes records without species designation)",NA,NA,97.53,90.22
"296","ASV_768","Dermaptera","COI FULL DATABASE (includes records without species designation)",NA,NA,97.18,85.06
"297","ASV_774","Penicillium citrinum","COI FULL DATABASE (includes records without species designation)",NA,NA,100,96.61
"298","ASV_775","Phytophthora nicotianae","COI FULL DATABASE (includes records without species designation)",NA,NA,100,95.79
"299","ASV_776","2014a","COI FULL DATABASE (includes records without species designation)",NA,NA,100,80.91
"300","ASV_777","Heteropoda venatoria","COI FULL DATABASE (includes records without species designation)",NA,NA,99.67,91.15
"301","ASV_778","Pheidole megacephala","COI FULL DATABASE (includes records without species designation)",NA,NA,100,100
"302","ASV_781","Linepithema humile","COI FULL DATABASE (includes records without species designation)",NA,NA,100,100
"303","ASV_784","Ponera swezeyi","COI FULL DATABASE (includes records without species designation)",NA,NA,100,100
"304","ASV_788","Heteropoda venatoria","COI FULL DATABASE (includes records without species designation)",NA,NA,100,90.95
"305","ASV_789","Mus musculus","COI FULL DATABASE (includes records without species designation)",NA,NA,99.64,99.03
"306","ASV_791","Wolbachia sp. Tetraponera manangotra","COI FULL DATABASE (includes records without species designation)",NA,NA,99.68,98.07
"307","ASV_792","Aspergillus niger","COI FULL DATABASE (includes records without species designation)",NA,NA,100,90.4
"308","ASV_793","Tyrophagus putrescentiae","COI FULL DATABASE (includes records without species designation)",NA,NA,97.41,96.44
"309","ASV_795","Pantala flavescens","COI FULL DATABASE (includes records without species designation)",NA,NA,97.73,96.76
"310","ASV_799","Proteobacteria Insecta ","COI FULL DATABASE (includes records without species designation)",NA,NA,99.37,98.39
"311","ASV_803","Pantala flavescens","COI FULL DATABASE (includes records without species designation)",NA,NA,99.68,98.71
"312","ASV_808","Pycnoscelus surinamensis","COI FULL DATABASE (includes records without species designation)",NA,NA,99.05,85.76
"313","ASV_809","Heteropoda venatoria","COI FULL DATABASE (includes records without species designation)",NA,NA,99.35,90.12
"314","ASV_817","Mus musculus","COI FULL DATABASE (includes records without species designation)",NA,NA,99.64,99.02
"315","ASV_818","Mus musculus","COI FULL DATABASE (includes records without species designation)",NA,NA,100,99.34
"316","ASV_819","Araneae","COI FULL DATABASE (includes records without species designation)",NA,NA,99.33,84.85
"317","ASV_822","Heteropoda venatoria","COI FULL DATABASE (includes records without species designation)",NA,NA,100,90.29
"318","ASV_826","Orthoptera","COI FULL DATABASE (includes records without species designation)",NA,NA,100,86.41
"319","ASV_838","Orthoptera","COI FULL DATABASE (includes records without species designation)",NA,NA,100,86.07
"320","ASV_839","Sula sula","COI FULL DATABASE (includes records without species designation)",NA,NA,100,88.35
"321","ASV_844","Heteropoda venatoria","COI FULL DATABASE (includes records without species designation)",NA,NA,100,90.59
"322","ASV_850","Pheidole megacephala","COI FULL DATABASE (includes records without species designation)",NA,NA,100,100
"323","ASV_851","Mus musculus","COI FULL DATABASE (includes records without species designation)",NA,NA,99.64,99.03
"324","ASV_855","Scholastes lonchifer","COI FULL DATABASE (includes records without species designation)",NA,NA,99.35,87.72
"325","ASV_860","Blattodea","COI FULL DATABASE (includes records without species designation)",NA,NA,99.68,84.36
"326","ASV_868","Orthoptera","COI FULL DATABASE (includes records without species designation)",NA,NA,97.14,86.41
"327","ASV_872","Ceresium unicolor","COI FULL DATABASE (includes records without species designation)",NA,NA,100,83.82
"328","ASV_879","Araneae","COI FULL DATABASE (includes records without species designation)",NA,NA,97.64,84.47
"329","ASV_882","Liposcelis bostrychophila","COI FULL DATABASE (includes records without species designation)",NA,NA,100,79.61
"330","ASV_884","Basidiomycota Insecta ","COI FULL DATABASE (includes records without species designation)",NA,NA,98.05,77.38
"331","ASV_888","Coleoptera","COI FULL DATABASE (includes records without species designation)",NA,NA,100,89.71
"332","ASV_893","Mus musculus","COI FULL DATABASE (includes records without species designation)",NA,NA,99.28,98.71
"333","ASV_902","Diptera","COI FULL DATABASE (includes records without species designation)",NA,NA,100,92.88
"334","ASV_903","Hymenoptera","COI FULL DATABASE (includes records without species designation)",NA,NA,100,96.44
"335","ASV_924","Periplaneta australasiae","COI FULL DATABASE (includes records without species designation)",NA,NA,99.68,91.91
"336","ASV_925","Araneae","COI FULL DATABASE (includes records without species designation)",NA,NA,98.38,85
"337","ASV_932","Pheidole megacephala","COI FULL DATABASE (includes records without species designation)",NA,NA,100,100
"338","ASV_933","Fusarium proliferatum","COI FULL DATABASE (includes records without species designation)",NA,NA,100,85.67
"339","ASV_950","Dermaptera","COI FULL DATABASE (includes records without species designation)",NA,NA,97.54,86.08
"340","ASV_958","Aleurodicus dispersus","COI FULL DATABASE (includes records without species designation)",NA,NA,100,100
"341","ASV_972","Dermaptera","COI FULL DATABASE (includes records without species designation)",NA,NA,97.54,85.44
"342","ASV_981","Orthoptera","COI FULL DATABASE (includes records without species designation)",NA,NA,99.52,85.71
"343","ASV_985","Mus musculus","COI FULL DATABASE (includes records without species designation)",NA,NA,99.64,99.03
"344","ASV_989","Mus musculus","COI FULL DATABASE (includes records without species designation)",NA,NA,99.28,98.71
"345","ASV_997","Dermatophagoides sp. WH_1","COI FULL DATABASE (includes records without species designation)",NA,NA,100,87.5
"346","ASV_1001","Dermaptera","COI FULL DATABASE (includes records without species designation)",NA,NA,99.65,84.51
"347","ASV_1003","Orthoptera","COI FULL DATABASE (includes records without species designation)",NA,NA,100,86.04
"348","ASV_1007","Gaurax bicoloripes","COI FULL DATABASE (includes records without species designation)",NA,NA,100,93.85
"349","ASV_1010","Araneae","COI FULL DATABASE (includes records without species designation)",NA,NA,99.66,85.22
"350","ASV_1023","Conoderus pallipes","COI FULL DATABASE (includes records without species designation)",NA,NA,100,87.15
"351","ASV_1026","Araneae","COI FULL DATABASE (includes records without species designation)",NA,NA,99.63,82.2
"352","ASV_1027","Araneae","COI FULL DATABASE (includes records without species designation)",NA,NA,99.35,84.89
"353","ASV_1032","Ornebius novarae","COI FULL DATABASE (includes records without species designation)",NA,NA,99.01,83.51
"354","ASV_1035","Heteropoda venatoria","COI FULL DATABASE (includes records without species designation)",NA,NA,100,90.94
"355","ASV_1046","Salmo salar","COI FULL DATABASE (includes records without species designation)",NA,NA,100,100
"356","ASV_1056","Linepithema humile","COI FULL DATABASE (includes records without species designation)",NA,NA,100,100
"357","ASV_1078","Hymenoptera","COI FULL DATABASE (includes records without species designation)",NA,NA,100,90.94
"358","ASV_1082","Fusarium redolens","COI FULL DATABASE (includes records without species designation)",NA,NA,99.03,87.06
"359","ASV_1083","Heteropoda venatoria","COI FULL DATABASE (includes records without species designation)",NA,NA,100,90.76
"360","ASV_1084","Ectopsocus hawaiiensis","COI FULL DATABASE (includes records without species designation)",NA,NA,100,84.47
"361","ASV_1086","Heteropoda venatoria","COI FULL DATABASE (includes records without species designation)",NA,NA,100,90.5
"362","ASV_1095","Coleoptera","COI FULL DATABASE (includes records without species designation)",NA,NA,100,90.61
"363","ASV_1096","Diptera","COI FULL DATABASE (includes records without species designation)",NA,NA,99.68,89.97
"364","ASV_1098","Penicillium citrinum","COI FULL DATABASE (includes records without species designation)",NA,NA,98.31,94.92
"365","ASV_1104","Mus musculus","COI FULL DATABASE (includes records without species designation)",NA,NA,99.64,99.03
"366","ASV_1111","Rhodotorula taiwanensis RS1","COI FULL DATABASE (includes records without species designation)",NA,NA,97.41,76.63
"367","ASV_1118","Ascomycota Microbotryomycetes ","COI FULL DATABASE (includes records without species designation)",NA,NA,100,84.18
"368","ASV_1123","Araneae","COI FULL DATABASE (includes records without species designation)",NA,NA,99.33,82.85
"369","ASV_1124","Lepidoptera","COI FULL DATABASE (includes records without species designation)",NA,NA,99.35,89.97
"370","ASV_1171","Araneae","COI FULL DATABASE (includes records without species designation)",NA,NA,100,82.52
"371","ASV_1178","Pantala flavescens","COI FULL DATABASE (includes records without species designation)",NA,NA,100,99.35
"372","ASV_1180","Beauveria bassiana","COI FULL DATABASE (includes records without species designation)",NA,NA,100,86.73
"373","ASV_1184","Diptera","COI FULL DATABASE (includes records without species designation)",NA,NA,98.02,83.66
"374","ASV_1194","Heteropoda venatoria","COI FULL DATABASE (includes records without species designation)",NA,NA,100,90.95
"375","ASV_1195","Mus musculus","COI FULL DATABASE (includes records without species designation)",NA,NA,98.92,98.38
"376","ASV_1202","Heteropoda venatoria","COI FULL DATABASE (includes records without species designation)",NA,NA,100,91.19
"377","ASV_1204","Diptera","COI FULL DATABASE (includes records without species designation)",NA,NA,100,96.8
"378","ASV_1207","Blattodea","COI FULL DATABASE (includes records without species designation)",NA,NA,99.68,84.77
"379","ASV_1230","Psocodea","COI FULL DATABASE (includes records without species designation)",NA,NA,100,84.79
"380","ASV_1237","Heteropoda venatoria","COI FULL DATABASE (includes records without species designation)",NA,NA,100,90.95
"381","ASV_1245","Basidiomycota Arachnida ","COI FULL DATABASE (includes records without species designation)",NA,NA,100,75.26
"382","ASV_1290","Odonata","COI FULL DATABASE (includes records without species designation)",NA,NA,97.38,95.79
"383","ASV_1294","Hymenoptera","COI FULL DATABASE (includes records without species designation)",NA,NA,100,91.01
"384","ASV_1297","Heteropoda venatoria","COI FULL DATABASE (includes records without species designation)",NA,NA,99.38,90.2
"385","ASV_1298","Orthoptera","COI FULL DATABASE (includes records without species designation)",NA,NA,100,86.08
"386","ASV_1299","Orthoptera","COI FULL DATABASE (includes records without species designation)",NA,NA,100,86.08
"387","ASV_1309","Orthoptera","COI FULL DATABASE (includes records without species designation)",NA,NA,100,86.41
"388","ASV_1324","Rhabditida","COI FULL DATABASE (includes records without species designation)",NA,NA,98.36,88.56
"389","ASV_1326","Heteropoda venatoria","COI FULL DATABASE (includes records without species designation)",NA,NA,100,90.95
"390","ASV_1331","Heteropoda venatoria","COI FULL DATABASE (includes records without species designation)",NA,NA,100,90.95
"391","ASV_1338","Hasarius adansoni","COI FULL DATABASE (includes records without species designation)",NA,NA,100,89.54
"392","ASV_1345","Diptera","COI FULL DATABASE (includes records without species designation)",NA,NA,100,90.56
"393","ASV_1346","Diptera","COI FULL DATABASE (includes records without species designation)",NA,NA,100,100
"394","ASV_1350","Psocodea","COI FULL DATABASE (includes records without species designation)",NA,NA,100,80
"395","ASV_1351","Orthoptera","COI FULL DATABASE (includes records without species designation)",NA,NA,100,85.6
"396","ASV_1356","Chonocephalus sp.","COI FULL DATABASE (includes records without species designation)",NA,NA,99.68,81.02
"397","ASV_1357","Diptera","COI FULL DATABASE (includes records without species designation)",NA,NA,100,86.08
"398","ASV_1360","Diptera","COI FULL DATABASE (includes records without species designation)",NA,NA,99.68,99.68
"399","ASV_1372","Orthoptera","COI FULL DATABASE (includes records without species designation)",NA,NA,100,85.6
"400","ASV_1387","Liposcelis decolor","COI FULL DATABASE (includes records without species designation)",NA,NA,97.4,75
"401","ASV_1404","Wolbachia endosymbiont of Formicidae","COI FULL DATABASE (includes records without species designation)",NA,NA,99.62,97.33
"402","ASV_1410","Dermaptera","COI FULL DATABASE (includes records without species designation)",NA,NA,99.3,85.11
"403","ASV_1413","2012","COI FULL DATABASE (includes records without species designation)",NA,NA,99.68,90.29
"404","ASV_1418","Heteropoda venatoria","COI FULL DATABASE (includes records without species designation)",NA,NA,100,90.72
"405","ASV_1423","Dermatophagoides pteronyssinus","COI FULL DATABASE (includes records without species designation)",NA,NA,99.35,86.27
"406","ASV_1437","Penicillium oxalicum","COI FULL DATABASE (includes records without species designation)",NA,NA,98.87,94.35
"407","ASV_1438","Cardiocondyla minutior","COI FULL DATABASE (includes records without species designation)",NA,NA,100,85.76
"408","ASV_1439","Coleoptera","COI FULL DATABASE (includes records without species designation)",NA,NA,100,87.95
"409","ASV_1442","Diptera","COI FULL DATABASE (includes records without species designation)",NA,NA,100,85.65
"410","ASV_1470","Orthoptera","COI FULL DATABASE (includes records without species designation)",NA,NA,100,86.08
"411","ASV_1471","Zygomycota Insecta ","COI FULL DATABASE (includes records without species designation)",NA,NA,100,96.38
"412","ASV_1490","Hymenoptera","COI FULL DATABASE (includes records without species designation)",NA,NA,100,99.68
"413","ASV_1491","Pheidole megacephala","COI FULL DATABASE (includes records without species designation)",NA,NA,100,100
"414","ASV_1497","IsotomidaeGEN sp. DPCOL102537","COI FULL DATABASE (includes records without species designation)",NA,NA,98.75,81.85
"415","ASV_1506","Wolbachia endosymbiont of Formicidae","COI FULL DATABASE (includes records without species designation)",NA,NA,99.62,97.33
"416","ASV_1516","2017","COI FULL DATABASE (includes records without species designation)",NA,NA,98.02,86.2
"417","ASV_1517","2012","COI FULL DATABASE (includes records without species designation)",NA,NA,99.68,90.51
"418","ASV_1519","Conocephalus saltator","COI FULL DATABASE (includes records without species designation)",NA,NA,100,85.44
"419","ASV_1524","Heteropoda venatoria","COI FULL DATABASE (includes records without species designation)",NA,NA,100,90.59
"420","ASV_1525","Fusarium redolens","COI FULL DATABASE (includes records without species designation)",NA,NA,98.71,86.73
"421","ASV_1526","Heteropoda venatoria","COI FULL DATABASE (includes records without species designation)",NA,NA,100,89.95
"422","ASV_1527","Dermaptera","COI FULL DATABASE (includes records without species designation)",NA,NA,99.3,85.11
"423","ASV_1529","Heteropoda venatoria","COI FULL DATABASE (includes records without species designation)",NA,NA,100,91.09
"424","ASV_1530","Wolbachia sp. Anacrusis nephrodes","COI FULL DATABASE (includes records without species designation)",NA,NA,99.62,98.86
"425","ASV_1538","Microstromatales","COI FULL DATABASE (includes records without species designation)",NA,NA,99.68,77.12
"426","ASV_1552","Penicillium citrinum","COI FULL DATABASE (includes records without species designation)",NA,NA,97.74,94.35
"427","ASV_1554","Neoscona theisi","COI FULL DATABASE (includes records without species designation)",NA,NA,98.74,95.6
"428","ASV_1555","Nylanderia bourbonica","COI FULL DATABASE (includes records without species designation)",NA,NA,100,98.84
"429","ASV_1558","Neoscona theisi","COI FULL DATABASE (includes records without species designation)",NA,NA,99.63,97.09
"430","ASV_1560","Neoscona theisi","COI FULL DATABASE (includes records without species designation)",NA,NA,98.77,95.68
"431","ASV_1562","Pantala flavescens","COI FULL DATABASE (includes records without species designation)",NA,NA,97.09,96.12
"432","ASV_1563","Diptera","COI FULL DATABASE (includes records without species designation)",NA,NA,98.7,84.3
"433","ASV_1574","Orthoptera","COI FULL DATABASE (includes records without species designation)",NA,NA,100,85.66
"434","ASV_1581","Heteropoda venatoria","COI FULL DATABASE (includes records without species designation)",NA,NA,100,90.95
"435","ASV_1582","Hymenoptera","COI FULL DATABASE (includes records without species designation)",NA,NA,100,91.34
"436","ASV_1598","Symphypleona","COI FULL DATABASE (includes records without species designation)",NA,NA,99.67,82.18
"437","ASV_1601","Penicillium citrinum","COI FULL DATABASE (includes records without species designation)",NA,NA,97.74,94.92
"438","ASV_1609","Entomobryomorpha","COI FULL DATABASE (includes records without species designation)",NA,NA,98.69,93.79
"439","ASV_1622","Dermaptera","COI FULL DATABASE (includes records without species designation)",NA,NA,97.76,85.89
"440","ASV_1628","Araneae","COI FULL DATABASE (includes records without species designation)",NA,NA,98.5,81.7
"441","ASV_1630","Smeringopus pallidus","COI FULL DATABASE (includes records without species designation)",NA,NA,99.67,81.69
"442","ASV_1631","Cochliopodium sp.","COI FULL DATABASE (includes records without species designation)",NA,NA,99.03,79.87
"443","ASV_1633","Heteropoda venatoria","COI FULL DATABASE (includes records without species designation)",NA,NA,99.4,90.37
"444","ASV_1636","Dermatophagoides sp. WH_1","COI FULL DATABASE (includes records without species designation)",NA,NA,100,87.5
"445","ASV_1637","2012","COI FULL DATABASE (includes records without species designation)",NA,NA,99.61,90.31
"446","ASV_1638","Heteropoda venatoria","COI FULL DATABASE (includes records without species designation)",NA,NA,99.11,90.24
"447","ASV_1642","Heteropoda venatoria","COI FULL DATABASE (includes records without species designation)",NA,NA,98.51,89.84
"448","ASV_1648","Heteropoda venatoria","COI FULL DATABASE (includes records without species designation)",NA,NA,100,90.61
"449","ASV_1652","Basidiomycota Arachnida ","COI FULL DATABASE (includes records without species designation)",NA,NA,97.08,76.95
"450","ASV_1664","Piletocera signiferalis","COI FULL DATABASE (includes records without species designation)",NA,NA,99.35,92.23
"451","ASV_1665","Neoscona theisi","COI FULL DATABASE (includes records without species designation)",NA,NA,99.66,96.94
"452","ASV_1670","Coleoptera","COI FULL DATABASE (includes records without species designation)",NA,NA,99.68,84.79
"453","ASV_1672","Diptera","COI FULL DATABASE (includes records without species designation)",NA,NA,99.68,85.9
"454","ASV_1678","Aleurodicus dispersus","COI FULL DATABASE (includes records without species designation)",NA,NA,99.68,99.68
"455","ASV_1682","Orthoptera","COI FULL DATABASE (includes records without species designation)",NA,NA,98.78,85.61
"456","ASV_1685","Smeringopus pallidus","COI FULL DATABASE (includes records without species designation)",NA,NA,100,81.55
"457","ASV_1712","Orthoptera","COI FULL DATABASE (includes records without species designation)",NA,NA,98.84,86.11
"458","ASV_1714","Orthoptera","COI FULL DATABASE (includes records without species designation)",NA,NA,99.39,85.48
"459","ASV_1716","Orthoptera","COI FULL DATABASE (includes records without species designation)",NA,NA,99.52,86
"460","ASV_1721","Orthoptera","COI FULL DATABASE (includes records without species designation)",NA,NA,99.39,85.71
"461","ASV_1734","Orthoptera","COI FULL DATABASE (includes records without species designation)",NA,NA,98.57,84.74
