,ASV,unique_ID,Domain,Phylum,Class,Order,Family,Genus,Species,Class_bold,Order_bold,Family_bold,Genus_bold,Species_bold,ID_bold,ID_level,BLAST_unique_ID,blast_Domain,blast_Phylum,blast_Class,blast_Order,blast_Family,blast_Genus,blast_Species
406,ASV_710,Neoscona theisi,Eukaryota,Arthropoda,Arachnida,Araneae,Araneidae,Neoscona,Neoscona theisi,Arachnida,Araneae,Araneidae,Neoscona,Neoscona theisi,Neoscona theisi,Species,,,,,,,,
398,ASV_78,Neoscona theisi,Eukaryota,Arthropoda,Arachnida,Araneae,Araneidae,Neoscona,Neoscona theisi,Arachnida,Araneae,Araneidae,Neoscona,Neoscona theisi,Neoscona theisi,Species,,,,,,,,
395,ASV_9,Neoscona theisi,Eukaryota,Arthropoda,Arachnida,Araneae,Araneidae,Neoscona,Neoscona theisi,Arachnida,Araneae,Araneidae,Neoscona,Neoscona theisi,Neoscona theisi,Species,,,,,,,,
724,ASV_888,Nephus sp. PSRU-COC007,Eukaryota,Arthropoda,Insecta,Coleoptera,Coccinellidae,Nephus,Nephus sp. PSRU-COC007,Insecta,Coleoptera,,,,Coleoptera,Species,,,,,,,,
456,ASV_294,Nylanderia sp. CHR01,Eukaryota,Arthropoda,Insecta,Hymenoptera,Formicidae,Nylanderia,Nylanderia sp. CHR01,Insecta,Hymenoptera,Formicidae,Nylanderia bourbonica,Nylanderia bourbonica,Nylanderia vividula,Species,,,,,,,,
457,ASV_677,Nylanderia sp. CHR01,Eukaryota,Arthropoda,Insecta,Hymenoptera,Formicidae,Nylanderia,Nylanderia sp. CHR01,Insecta,Hymenoptera,Formicidae,Nylanderia bourbonica,Nylanderia bourbonica,Nylanderia sp. CHR01,Species,,,,,,,,
141,ASV_1390,Olios sp. 1GAB,Eukaryota,Arthropoda,Arachnida,Araneae,Sparassidae,Olios,Olios sp. 1GAB_PAK,,,,,,,Species,,,,,,,,
6,ASV_1307,Oncorhynchus nerka,Eukaryota,Chordata,Actinopteri,Salmoniformes,Salmonidae,Oncorhynchus,Oncorhynchus nerka,,,,,,,Species,,,,,,,,
145,ASV_1132,Opopaea sp. CASENT9024170,Eukaryota,Arthropoda,Arachnida,Araneae,Oonopidae,Opopaea,Opopaea sp. CASENT9024170,,,,,,,Species,,,,,,,,
144,ASV_291,Opopaea sp. CASENT9024170,Eukaryota,Arthropoda,Arachnida,Araneae,Oonopidae,Opopaea,Opopaea sp. CASENT9024170,,,,,,,Species,,,,,,,,
501,ASV_1032,Ornebius novarae,Eukaryota,Arthropoda,Insecta,Orthoptera,Mogoplistidae,Ornebius,Ornebius novarae,Insecta,Orthoptera,Gryllidea,Ornebius novarae,Ornebius novarae,Ornebius novarae,Species,,,,,,,,
782,ASV_333,Ornebius novarae,Eukaryota,Arthropoda,Insecta,Orthoptera,Mogoplistidae,Ornebius,Ornebius novarae,Insecta,Orthoptera,,,,Orthoptera,Species,,,,,,,,
781,ASV_87,Ornebius novarae,Eukaryota,Arthropoda,Insecta,Orthoptera,Mogoplistidae,Ornebius,Ornebius novarae,Insecta,Orthoptera,,,,Orthoptera,Species,,,,,,,,
229,ASV_1247,Orphnaeus brevilabiatus,Eukaryota,Arthropoda,Chilopoda,Geophilomorpha,Oryidae,Orphnaeus,Orphnaeus brevilabiatus,,,,,,,Species,,,,,,,,
142,ASV_1135,Oxyopes sertatus,Eukaryota,Arthropoda,Arachnida,Araneae,Oxyopidae,Oxyopes,Oxyopes sertatus,,,,,,,Species,,,,,,,,
508,ASV_1178,Pantala flavescens,Eukaryota,Arthropoda,Insecta,Odonata,Libellulidae,Pantala,Pantala flavescens,Insecta,Odonata,Libellulidae,Pantala,Pantala flavescens,Pantala flavescens,Species,,,,,,,,
372,ASV_1185,Pantala flavescens,Eukaryota,Arthropoda,Insecta,Odonata,Libellulidae,Pantala,Pantala flavescens,,,,,,,Species,,,,,,,,
784,ASV_1290,Pantala flavescens,Eukaryota,Arthropoda,Insecta,Odonata,Libellulidae,Pantala,Pantala flavescens,Insecta,Odonata,,,,Odonata,Species,,,,,,,,
373,ASV_1358,Pantala flavescens,Eukaryota,Arthropoda,Insecta,Odonata,Libellulidae,Pantala,Pantala flavescens,,,,,,,Species,,,,,,,,
509,ASV_1562,Pantala flavescens,Eukaryota,Arthropoda,Insecta,Odonata,Libellulidae,Pantala,Pantala flavescens,Insecta,Odonata,Libellulidae,Pantala,Pantala flavescens,Pantala flavescens,Species,,,,,,,,
374,ASV_1735,Pantala flavescens,Eukaryota,Arthropoda,Insecta,Odonata,Libellulidae,Pantala,Pantala flavescens,,,,,,,Species,,,,,,,,
375,ASV_1736,Pantala flavescens,Eukaryota,Arthropoda,Insecta,Odonata,Libellulidae,Pantala,Pantala flavescens,,,,,,,Species,,,,,,,,
503,ASV_19,Pantala flavescens,Eukaryota,Arthropoda,Insecta,Odonata,Libellulidae,Pantala,Pantala flavescens,Insecta,Odonata,Libellulidae,Pantala,Pantala flavescens,Pantala flavescens,Species,,,,,,,,
504,ASV_24,Pantala flavescens,Eukaryota,Arthropoda,Insecta,Odonata,Libellulidae,Pantala,Pantala flavescens,Insecta,Odonata,Libellulidae,Pantala,Pantala flavescens,Pantala flavescens,Species,,,,,,,,
505,ASV_495,Pantala flavescens,Eukaryota,Arthropoda,Insecta,Odonata,Libellulidae,Pantala,Pantala flavescens,Insecta,Odonata,Libellulidae,Pantala,Pantala flavescens,Pantala flavescens,Species,,,,,,,,
502,ASV_5,Pantala flavescens,Eukaryota,Arthropoda,Insecta,Odonata,Libellulidae,Pantala,Pantala flavescens,Insecta,Odonata,Libellulidae,Pantala,Pantala flavescens,Pantala flavescens,Species,,,,,,,,
506,ASV_795,Pantala flavescens,Eukaryota,Arthropoda,Insecta,Odonata,Libellulidae,Pantala,Pantala flavescens,Insecta,Odonata,Libellulidae,Pantala,Pantala flavescens,Pantala flavescens,Species,,,,,,,,
507,ASV_803,Pantala flavescens,Eukaryota,Arthropoda,Insecta,Odonata,Libellulidae,Pantala,Pantala flavescens,Insecta,Odonata,Libellulidae,Pantala,Pantala flavescens,Pantala flavescens,Species,,,,,,,,
233,ASV_1018,Parartemia serventyi,Eukaryota,Arthropoda,Branchiopoda,Anostraca,Branchipodidae,Parartemia,Parartemia serventyi,,,,,,,Species,,,,,,,,
231,ASV_782,Parartemia serventyi,Eukaryota,Arthropoda,Branchiopoda,Anostraca,Branchipodidae,Parartemia,Parartemia serventyi,,,,,,,Species,,,,,,,,
232,ASV_973,Parartemia serventyi,Eukaryota,Arthropoda,Branchiopoda,Anostraca,Branchipodidae,Parartemia,Parartemia serventyi,,,,,,,Species,,,,,,,,
726,ASV_455,Philonthus explorator,Eukaryota,Arthropoda,Insecta,Coleoptera,Staphylinidae,Philonthus,Philonthus explorator,Insecta,Coleoptera,,,,Coleoptera,Species,,,,,,,,
432,ASV_1664,Piletocera signiferalis,Eukaryota,Arthropoda,Insecta,Lepidoptera,Crambidae,Piletocera,Piletocera signiferalis,Insecta,Lepidoptera,Crambidae,Piletocera signiferalis,Piletocera signiferalis,Piletocera signiferalis,Species,,,,,,,,
431,ASV_504,Piletocera signiferalis,Eukaryota,Arthropoda,Insecta,Lepidoptera,Crambidae,Piletocera,Piletocera signiferalis,Insecta,Lepidoptera,Crambidae,Piletocera signiferalis,Piletocera signiferalis,Piletocera signiferalis,Species,,,,,,,,
322,ASV_1187,Pseudomyrmex gracilis,Eukaryota,Arthropoda,Insecta,Hymenoptera,Formicidae,Pseudomyrmex,Pseudomyrmex gracilis,,,,,,,Species,,,,,,,,
323,ASV_1232,Pseudomyrmex gracilis,Eukaryota,Arthropoda,Insecta,Hymenoptera,Formicidae,Pseudomyrmex,Pseudomyrmex gracilis,,,,,,,Species,,,,,,,,
324,ASV_1373,Pseudomyrmex gracilis,Eukaryota,Arthropoda,Insecta,Hymenoptera,Formicidae,Pseudomyrmex,Pseudomyrmex gracilis,,,,,,,Species,,,,,,,,
325,ASV_1684,Pseudomyrmex gracilis,Eukaryota,Arthropoda,Insecta,Hymenoptera,Formicidae,Pseudomyrmex,Pseudomyrmex gracilis,,,,,,,Species,,,,,,,,
326,ASV_1706,Pseudomyrmex gracilis,Eukaryota,Arthropoda,Insecta,Hymenoptera,Formicidae,Pseudomyrmex,Pseudomyrmex gracilis,,,,,,,Species,,,,,,,,
331,ASV_447,Saissetia oleae,Eukaryota,Arthropoda,Insecta,Hemiptera,Coccidae,Saissetia,Saissetia oleae,,,,,,,Species,,,,,,,,
383,ASV_1046,Salmo salar,Eukaryota,Chordata,Actinopteri,Salmoniformes,Salmonidae,Salmo,Salmo salar,Actinopterygii,Salmoniformes,Salmonidae,Salmo,Salmo salar,Salmo salar,Species,,,,,,,,
442,ASV_180,Scholastes lonchifer,Eukaryota,Arthropoda,Insecta,Diptera,Platystomatidae,Scholastes,Scholastes lonchifer,Insecta,Diptera,Platystomatidae,Scholastes,Scholastes lonchifer,Scholastes lonchifer,Species,,,,,,,,
443,ASV_243,Scholastes lonchifer,Eukaryota,Arthropoda,Insecta,Diptera,Platystomatidae,Scholastes,Scholastes lonchifer,Insecta,Diptera,Platystomatidae,Scholastes,Scholastes lonchifer,Scholastes lonchifer,Species,,,,,,,,
441,ASV_26,Scholastes lonchifer,Eukaryota,Arthropoda,Insecta,Diptera,Platystomatidae,Scholastes,Scholastes lonchifer,Insecta,Diptera,Platystomatidae,Scholastes,Scholastes lonchifer,Scholastes lonchifer,Species,,,,,,,,
444,ASV_486,Scholastes lonchifer,Eukaryota,Arthropoda,Insecta,Diptera,Platystomatidae,Scholastes,Scholastes lonchifer,Insecta,Diptera,Platystomatidae,Scholastes,Scholastes lonchifer,Scholastes lonchifer,Species,,,,,,,,
445,ASV_562,Scholastes lonchifer,Eukaryota,Arthropoda,Insecta,Diptera,Platystomatidae,Scholastes,Scholastes lonchifer,Insecta,Diptera,Platystomatidae,Scholastes,Scholastes lonchifer,Scholastes lonchifer,Species,,,,,,,,
446,ASV_569,Scholastes lonchifer,Eukaryota,Arthropoda,Insecta,Diptera,Platystomatidae,Scholastes,Scholastes lonchifer,Insecta,Diptera,Platystomatidae,Scholastes,Scholastes lonchifer,Scholastes lonchifer,Species,,,,,,,,
447,ASV_855,Scholastes lonchifer,Eukaryota,Arthropoda,Insecta,Diptera,Platystomatidae,Scholastes,Scholastes lonchifer,Insecta,Diptera,Platystomatidae,Scholastes,Scholastes lonchifer,Scholastes lonchifer,Species,,,,,,,,
737,ASV_1184,Sciaridae sp. BIOUG15345-H01,Eukaryota,Arthropoda,Insecta,Diptera,Sciaridae,,Sciaridae sp. BIOUG15345-H01,Insecta,Diptera,,,,Diptera,Species,,,,,,,,
738,ASV_1442,Sciaridae sp. sc,Eukaryota,Arthropoda,Insecta,Diptera,Sciaridae,,Sciaridae sp. sc_02707,Insecta,Diptera,,,,Diptera,Species,,,,,,,,
739,ASV_1096,Sciaridae sp. sc,Eukaryota,Arthropoda,Insecta,Diptera,Sciaridae,,Sciaridae sp. sc_07876,Insecta,Diptera,,,,Diptera,Species,,,,,,,,
464,ASV_326,Selenothrips rubrocinctus,Eukaryota,Arthropoda,Insecta,Thysanoptera,Thripidae,Selenothrips,Selenothrips rubrocinctus,Insecta,Thysanoptera,Tripidae,Selenothrips,Selenothrips rubrocinctus,Selenothrips rubrocinctus,Species,,,,,,,,
419,ASV_115,Smeringopus pallidus,Eukaryota,Arthropoda,Arachnida,Araneae,Pholcidae,Smeringopus,Smeringopus pallidus,Arachnida,Araneae,Pholcidae,Smeringopus,Smeringopus pallidus,Smeringopus pallidus,Species,,,,,,,,
417,ASV_13,Smeringopus pallidus,Eukaryota,Arthropoda,Arachnida,Araneae,Pholcidae,Smeringopus,Smeringopus pallidus,Arachnida,Araneae,Pholcidae,Smeringopus,Smeringopus pallidus,Smeringopus pallidus,Species,,,,,,,,
427,ASV_1630,Smeringopus pallidus,Eukaryota,Arthropoda,Arachnida,Araneae,Pholcidae,Smeringopus,Smeringopus pallidus,Arachnida,Araneae,Pholcidae,Smeringopus,Smeringopus pallidus,Smeringopus pallidus,Species,,,,,,,,
428,ASV_1685,Smeringopus pallidus,Eukaryota,Arthropoda,Arachnida,Araneae,Pholcidae,Smeringopus,Smeringopus pallidus,Arachnida,Araneae,Pholcidae,Smeringopus,Smeringopus pallidus,Smeringopus pallidus,Species,,,,,,,,
420,ASV_251,Smeringopus pallidus,Eukaryota,Arthropoda,Arachnida,Araneae,Pholcidae,Smeringopus,Smeringopus pallidus,Arachnida,Araneae,Pholcidae,Smeringopus,Smeringopus pallidus,Smeringopus pallidus,Species,,,,,,,,
421,ASV_309,Smeringopus pallidus,Eukaryota,Arthropoda,Arachnida,Araneae,Pholcidae,Smeringopus,Smeringopus pallidus,Arachnida,Araneae,Pholcidae,Smeringopus,Smeringopus pallidus,Smeringopus pallidus,Species,,,,,,,,
422,ASV_313,Smeringopus pallidus,Eukaryota,Arthropoda,Arachnida,Araneae,Pholcidae,Smeringopus,Smeringopus pallidus,Arachnida,Araneae,Pholcidae,Smeringopus,Smeringopus pallidus,Smeringopus pallidus,Species,,,,,,,,
423,ASV_330,Smeringopus pallidus,Eukaryota,Arthropoda,Arachnida,Araneae,Pholcidae,Smeringopus,Smeringopus pallidus,Arachnida,Araneae,Pholcidae,Smeringopus,Smeringopus pallidus,Smeringopus pallidus,Species,,,,,,,,
424,ASV_331,Smeringopus pallidus,Eukaryota,Arthropoda,Arachnida,Araneae,Pholcidae,Smeringopus,Smeringopus pallidus,Arachnida,Araneae,Pholcidae,Smeringopus,Smeringopus pallidus,Smeringopus pallidus,Species,,,,,,,,
147,ASV_381,Smeringopus pallidus,Eukaryota,Arthropoda,Arachnida,Araneae,Pholcidae,Smeringopus,Smeringopus pallidus,,,,,,,Species,,,,,,,,
425,ASV_615,Smeringopus pallidus,Eukaryota,Arthropoda,Arachnida,Araneae,Pholcidae,Smeringopus,Smeringopus pallidus,Arachnida,Araneae,Pholcidae,Smeringopus,Smeringopus pallidus,Smeringopus pallidus,Species,,,,,,,,
426,ASV_726,Smeringopus pallidus,Eukaryota,Arthropoda,Arachnida,Araneae,Pholcidae,Smeringopus,Smeringopus pallidus,Arachnida,Araneae,Pholcidae,Smeringopus,Smeringopus pallidus,Smeringopus pallidus,Species,,,,,,,,
416,ASV_8,Smeringopus pallidus,Eukaryota,Arthropoda,Arachnida,Araneae,Pholcidae,Smeringopus,Smeringopus pallidus,Arachnida,Araneae,Pholcidae,Smeringopus,Smeringopus pallidus,Smeringopus pallidus,Species,,,,,,,,
418,ASV_95,Smeringopus pallidus,Eukaryota,Arthropoda,Arachnida,Araneae,Pholcidae,Smeringopus,Smeringopus pallidus,Arachnida,Araneae,Pholcidae,Smeringopus,Smeringopus pallidus,Smeringopus pallidus,Species,,,,,,,,
629,ASV_1598,Sminthuridae sp. DPCOL44194,Eukaryota,Arthropoda,Collembola,Symphypleona,Sminthuridae,,Sminthuridae sp. DPCOL44194,Entognatha,Symphypleona,,,,Symphypleona,Species,,,,,,,,
169,ASV_133,Stigmatogaster souletina,Eukaryota,Arthropoda,Chilopoda,Geophilomorpha,Himantariidae,Stigmatogaster,Stigmatogaster souletina,,,,,,,Species,,,,,,,,
170,ASV_538,Stigmatogaster souletina,Eukaryota,Arthropoda,Chilopoda,Geophilomorpha,Himantariidae,Stigmatogaster,Stigmatogaster souletina,,,,,,,Species,,,,,,,,
448,ASV_681,Styringomyia didyma,Eukaryota,Arthropoda,Insecta,Diptera,Limoniidae,Styringomyia,Styringomyia didyma,Insecta,Diptera,Limoniidae,Styringomyia,Styringomyia didyma,Styringomyia didyma,Species,,,,,,,,
384,ASV_839,Sula sula,Eukaryota,Chordata,Aves,Pelecaniformes,Sulidae,Sula,Sula sula,Aves,Suliformes,Sulidae,Sula,Sula sula,Sula sula,Species,,,,,,,,
227,ASV_1076,Tygarrup javanicus,Eukaryota,Arthropoda,Chilopoda,Geophilomorpha,Mecistocephalidae,Tygarrup,Tygarrup javanicus,,,,,,,Species,,,,,,,,
228,ASV_1161,Tygarrup javanicus,Eukaryota,Arthropoda,Chilopoda,Geophilomorpha,Mecistocephalidae,Tygarrup,Tygarrup javanicus,,,,,,,Species,,,,,,,,
222,ASV_15,Tygarrup javanicus,Eukaryota,Arthropoda,Chilopoda,Geophilomorpha,Mecistocephalidae,Tygarrup,Tygarrup javanicus,,,,,,,Species,,,,,,,,
223,ASV_28,Tygarrup javanicus,Eukaryota,Arthropoda,Chilopoda,Geophilomorpha,Mecistocephalidae,Tygarrup,Tygarrup javanicus,,,,,,,Species,,,,,,,,
224,ASV_38,Tygarrup javanicus,Eukaryota,Arthropoda,Chilopoda,Geophilomorpha,Mecistocephalidae,Tygarrup,Tygarrup javanicus,,,,,,,Species,,,,,,,,
225,ASV_544,Tygarrup javanicus,Eukaryota,Arthropoda,Chilopoda,Geophilomorpha,Mecistocephalidae,Tygarrup,Tygarrup javanicus,,,,,,,Species,,,,,,,,
226,ASV_667,Tygarrup javanicus,Eukaryota,Arthropoda,Chilopoda,Geophilomorpha,Mecistocephalidae,Tygarrup,Tygarrup javanicus,,,,,,,Species,,,,,,,,
761,ASV_49,Anisolabis,Eukaryota,Arthropoda,Insecta,Dermaptera,Anisolabididae,Anisolabis,,Insecta,Dermaptera,Anisolabidinae,Anisolabis,Anisolabis maritima,Anisolabis maritima,Genus,,,,,,,,
732,ASV_425,Cephalochrysa,Eukaryota,Arthropoda,Insecta,Diptera,Stratiomyidae,Cephalochrysa,,Insecta,Diptera,Stratiomyidae,Cephalochrysa,Cephalochrysa maxima,Cephalochrysa maxima,Genus,,,,,,,,
626,ASV_1609,Homidia,Eukaryota,Arthropoda,Collembola,Entomobryomorpha,Entomobryidae,Homidia,,Entognatha,Entomobryomorpha,,,,Entomobryomorpha,Genus,,,,,,,,
625,ASV_96,Homidia,Eukaryota,Arthropoda,Collembola,Entomobryomorpha,Entomobryidae,Homidia,,Entognatha,Entomobryomorpha,,,,Entomobryomorpha,Genus,,,,,,,,
753,ASV_1078,Hypoponera,Eukaryota,Arthropoda,Insecta,Hymenoptera,Formicidae,Hypoponera,,Insecta,Hymenoptera,,,,Hymenoptera,Genus,,,,,,,,
530,ASV_271,Lepidodactylus,Eukaryota,Chordata,Reptilia,Squamata,Gekkonidae,Lepidodactylus,,Reptilia,Squamata,Gekkonidae,Lepidodactylus,Lepidodactylus lugubris,Lepidodactylus lugubris,Genus,,,,,,,,
555,ASV_716,Neoscona,Eukaryota,Arthropoda,Arachnida,Araneae,Araneidae,Neoscona,,Arachnida,Araneae,Araneidae,Neoscona,Neoscona theisi,Neoscona theisi,Genus,,,,,,,,
346,ASV_1419,Periplaneta,Eukaryota,Arthropoda,Insecta,Blattodea,Blattidae,Periplaneta,,,,,,,,Genus,,,,,,,,
771,ASV_654,Periplaneta,Eukaryota,Arthropoda,Insecta,Blattodea,Blattidae,Periplaneta,,Insecta,Blattodea,Blattidae,Periplaneta australasiae,Periplaneta australasiae,Periplaneta australasiae,Genus,,,,,,,,
770,ASV_91,Periplaneta,Eukaryota,Arthropoda,Insecta,Blattodea,Blattidae,Periplaneta,,Insecta,Blattodea,Blattidae,Periplaneta australasiae,Periplaneta australasiae,Periplaneta australasiae,Genus,,,,,,,,
772,ASV_924,Periplaneta,Eukaryota,Arthropoda,Insecta,Blattodea,Blattidae,Periplaneta,,Insecta,Blattodea,Blattidae,Periplaneta australasiae,Periplaneta australasiae,Periplaneta australasiae,Genus,,,,,,,,
751,ASV_1490,Pheidole,Eukaryota,Arthropoda,Insecta,Hymenoptera,Formicidae,Pheidole,,Insecta,Hymenoptera,,,,Hymenoptera,Genus,,,,,,,,
752,ASV_1491,Pheidole,Eukaryota,Arthropoda,Insecta,Hymenoptera,Formicidae,Pheidole,,Insecta,Hymenoptera,Formicidae,Pheidole,Pheidole megacephala,Pheidole megacephala,Genus,,,,,,,,
746,ASV_515,Pheidole,Eukaryota,Arthropoda,Insecta,Hymenoptera,Formicidae,Pheidole,,Insecta,Hymenoptera,Formicidae,Pheidole,Pheidole megacephala,Pheidole megacephala,Genus,,,,,,,,
747,ASV_628,Pheidole,Eukaryota,Arthropoda,Insecta,Hymenoptera,Formicidae,Pheidole,,Insecta,Hymenoptera,Formicidae,Pheidole,Pheidole megacephala,Pheidole megacephala,Genus,,,,,,,,
748,ASV_778,Pheidole,Eukaryota,Arthropoda,Insecta,Hymenoptera,Formicidae,Pheidole,,Insecta,Hymenoptera,Formicidae,Pheidole,Pheidole megacephala,Pheidole megacephala,Genus,,,,,,,,
749,ASV_850,Pheidole,Eukaryota,Arthropoda,Insecta,Hymenoptera,Formicidae,Pheidole,,Insecta,Hymenoptera,Formicidae,Pheidole,Pheidole megacephala,Pheidole megacephala,Genus,,,,,,,,
750,ASV_932,Pheidole,Eukaryota,Arthropoda,Insecta,Hymenoptera,Formicidae,Pheidole,,Insecta,Hymenoptera,Formicidae,Pheidole,Pheidole megacephala,Pheidole megacephala,Genus,,,,,,,,
754,ASV_784,Ponera <ants>,Eukaryota,Arthropoda,Insecta,Hymenoptera,Formicidae,Ponera <ants>,,Insecta,Hymenoptera,Formicidae,Ponera,Ponera swezeyi,Ponera swezeyi,Genus,,,,,,,,
386,ASV_1516,Suidasia,Eukaryota,Arthropoda,Arachnida,Sarcoptiformes,Suidasiidae,Suidasia,,Arachnida,Sarcoptiformes,Suidasiidae,Suidasia,,Suidasia sp.,Genus,,,,,,,,
385,ASV_682,Suidasia,Eukaryota,Arthropoda,Arachnida,Sarcoptiformes,Suidasiidae,Suidasia,,Arachnida,Sarcoptiformes,Suidasiidae,Suidasia,,Suidasia sp.,Genus,,,,,,,,
556,ASV_14,Theridion,Eukaryota,Arthropoda,Arachnida,Araneae,Theridiidae,Theridion,,Arachnida,Araneae,Theridiidae,Theridion,Theridion melanostictum,Theridion melanostictum,Genus,,,,,,,,
557,ASV_618,Theridion,Eukaryota,Arthropoda,Arachnida,Araneae,Theridiidae,Theridion,,Arachnida,Araneae,Theridiidae,Theridion,Theridion melanostictum,Theridion melanostictum,Genus,,,,,,,,
551,ASV_793,Acaridae,Eukaryota,Arthropoda,Arachnida,Sarcoptiformes,Acaridae,,,Arachnida,Sarcoptiformes,Acaridae,Tyrophagus,Tyrophagus putrescentiae,Tyrophagus putrescentiae,Family,,,,,,,,
775,ASV_124,Acrididae,Eukaryota,Arthropoda,Insecta,Orthoptera,Acrididae,,,Insecta,Orthoptera,Acrididae,Oxya,,Oxya sp,Family,,,,,,,,
778,ASV_1413,Acrididae,Eukaryota,Arthropoda,Insecta,Orthoptera,Acrididae,,,Insecta,Orthoptera,Acrididae,Oxya,,Oxya sp,Family,,,,,,,,
779,ASV_1517,Acrididae,Eukaryota,Arthropoda,Insecta,Orthoptera,Acrididae,,,Insecta,Orthoptera,Acrididae,Oxya,,Oxya sp,Family,,,,,,,,
780,ASV_1637,Acrididae,Eukaryota,Arthropoda,Insecta,Orthoptera,Acrididae,,,Insecta,Orthoptera,Acrididae,Oxya,,Oxya sp,Family,,,,,,,,
776,ASV_201,Acrididae,Eukaryota,Arthropoda,Insecta,Orthoptera,Acrididae,,,Insecta,Orthoptera,Acrididae,Oxya,,Oxya sp,Family,,,,,,,,
777,ASV_286,Acrididae,Eukaryota,Arthropoda,Insecta,Orthoptera,Acrididae,,,Insecta,Orthoptera,Acrididae,Oxya,,Oxya sp,Family,,,,,,,,
773,ASV_36,Acrididae,Eukaryota,Arthropoda,Insecta,Orthoptera,Acrididae,,,Insecta,Orthoptera,Acrididae,Oxya,,Oxya sp,Family,,,,,,,,
371,ASV_612,Acrididae,Eukaryota,Arthropoda,Insecta,Orthoptera,Acrididae,,,,,,,,,Family,,,,,,,,
774,ASV_64,Acrididae,Eukaryota,Arthropoda,Insecta,Orthoptera,Acrididae,,,Insecta,Orthoptera,Acrididae,Oxya,,Oxya sp,Family,,,,,,,,
731,ASV_488,Agromyzidae,Eukaryota,Arthropoda,Insecta,Diptera,Agromyzidae,,,Insecta,Diptera,Agromyzidae,Liriomyza,Liriomyza sativae,Liriomyza sativae,Family,,,,,,,,
756,ASV_1678,Aleyrodidae,Eukaryota,Arthropoda,Insecta,Hemiptera,Aleyrodidae,,,Insecta,Hemiptera,Aleyrodidae,Aleurodicus,Aleurodicus dispersus,Aleurodicus dispersus,Family,,,,,,,,
755,ASV_958,Aleyrodidae,Eukaryota,Arthropoda,Insecta,Hemiptera,Aleyrodidae,,,Insecta,Hemiptera,Aleyrodidae,Aleurodicus,Aleurodicus dispersus,Aleurodicus dispersus,Family,,,,,,,,
242,ASV_1141,Bourletiellidae,Eukaryota,Arthropoda,Collembola,Symphypleona,Bourletiellidae,,,,,,,,,Family,,,,,,,,
734,ASV_1204,Cecidomyiidae,Eukaryota,Arthropoda,Insecta,Diptera,Cecidomyiidae,,,Insecta,Diptera,,,,Diptera,Family,,,,,,,,
729,ASV_298,Chloropidae,Eukaryota,Arthropoda,Insecta,Diptera,Chloropidae,,,Insecta,Diptera,,,,Diptera,Family,,,,,,,,
730,ASV_902,Chloropidae,Eukaryota,Arthropoda,Insecta,Diptera,Chloropidae,,,Insecta,Diptera,,,,Diptera,Family,,,,,,,,
768,ASV_148,Ectobiidae,Eukaryota,Arthropoda,Insecta,Blattodea,Ectobiidae,,,Insecta,Blattodea,,,,Blattodea,Family,,,,,,,,
769,ASV_191,Ectobiidae,Eukaryota,Arthropoda,Insecta,Blattodea,Ectobiidae,,,Insecta,Blattodea,,,,Blattodea,Family,,,,,,,,
720,ASV_319,Erebidae,Eukaryota,Arthropoda,Insecta,Lepidoptera,Erebidae,,,Insecta,Lepidoptera,,,,Lepidoptera,Family,,,,,,,,
321,ASV_1440,Formicidae,Eukaryota,Arthropoda,Insecta,Hymenoptera,Formicidae,,,,,,,,,Family,,,,,,,,
744,ASV_52,Formicidae,Eukaryota,Arthropoda,Insecta,Hymenoptera,Formicidae,,,Insecta,Hymenoptera,Formicidae,Nylanderia bourbonica,Nylanderia bourbonica,Nylanderia bourbonica,Family,,,,,,,,
745,ASV_607,Formicidae,Eukaryota,Arthropoda,Insecta,Hymenoptera,Formicidae,,,Insecta,Hymenoptera,Formicidae,Nylanderia bourbonica,Nylanderia bourbonica,Nylanderia bourbonica,Family,,,,,,,,
10,ASV_1165,Hominidae,Eukaryota,Chordata,Mammalia,Primates,Hominidae,,,,,,,,,Family,,,,,,,,
11,ASV_1257,Hominidae,Eukaryota,Chordata,Mammalia,Primates,Hominidae,,,,,,,,,Family,,,,,,,,
12,ASV_1679,Hominidae,Eukaryota,Chordata,Mammalia,Primates,Hominidae,,,,,,,,,Family,,,,,,,,
759,ASV_164,Lepidopsocidae,Eukaryota,Arthropoda,Insecta,Psocoptera,Lepidopsocidae,,,Insecta,Psocoptera,Lepidopsocidae,Lepidopsocus,Lepidopsocus marmoratus,Lepidopsocus marmoratus,Family,,,,,,,,
760,ASV_552,Lepidopsocidae,Eukaryota,Arthropoda,Insecta,Psocoptera,Lepidopsocidae,,,Insecta,,,,,Psocodea,Family,,,,,,,,
742,ASV_400,Limoniidae,Eukaryota,Arthropoda,Insecta,Diptera,Limoniidae,,,Insecta,Diptera,,,,Diptera,Family,,,,,,,,
332,ASV_1671,Pseudococcidae,Eukaryota,Arthropoda,Insecta,Hemiptera,Pseudococcidae,,,,,,,,,Family,,,,,,,,
315,ASV_1022,Sciaridae,Eukaryota,Arthropoda,Insecta,Diptera,Sciaridae,,,,,,,,,Family,,,,,,,,
736,ASV_1346,Sciaridae,Eukaryota,Arthropoda,Insecta,Diptera,Sciaridae,,,Insecta,Diptera,,,,Diptera,Family,,,,,,,,
314,ASV_151,Sciaridae,Eukaryota,Arthropoda,Insecta,Diptera,Sciaridae,,,,,,,,,Family,,,,,,,,
